anio,cat_inac,cat_ocup,ch03,ch04,ch06,ch07,ch08,ch12,ch13,ch14,codusu,estado,ipcf,itf,miembros_hogar,nivel_ed,nro_hogar,pondera,pp03d,pp04a,pp04c,pp10a,pp3e_tot,pp3e_tot_missing,pp3f_tot,pp3f_tot_missing,lp_pc,pobre
2005,1.0,0.0,1.0,2.0,76.0,4.0,1.0,2.0,1.0,,132377,3.0,332.5,665.0,2.0,2.0,1.0,272.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,205.07,0
2005,0.0,3.0,3.0,1.0,36.0,3.0,4.0,4.0,1.0,,132377,1.0,332.5,665.0,2.0,4.0,1.0,272.0,2.0,2.0,3.0,0.0,17.0,0,16.0,0,205.07,0
2005,1.0,0.0,1.0,1.0,60.0,2.0,1.0,2.0,1.0,,133165,3.0,850.0,2550.0,3.0,2.0,1.0,293.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,205.07,0
2005,4.0,0.0,2.0,2.0,56.0,2.0,1.0,4.0,2.0,3.0,133165,3.0,850.0,2550.0,3.0,3.0,1.0,293.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,205.07,0
2005,0.0,3.0,3.0,1.0,26.0,5.0,1.0,4.0,1.0,,133165,1.0,850.0,2550.0,3.0,4.0,1.0,293.0,0.0,2.0,12.0,0.0,48.0,0,0.0,0,205.07,0
2005,0.0,3.0,1.0,1.0,44.0,5.0,1.0,2.0,1.0,,133264,1.0,450.0,900.0,2.0,2.0,1.0,623.0,0.0,2.0,3.0,0.0,48.0,0,0.0,0,205.07,0
2005,3.0,0.0,3.0,2.0,14.0,5.0,1.0,3.0,2.0,8.0,133264,3.0,450.0,900.0,2.0,3.0,1.0,623.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,205.07,0
2005,0.0,3.0,1.0,1.0,33.0,2.0,4.0,2.0,1.0,,133368,1.0,91.66666666666669,550.0,6.0,2.0,1.0,372.0,0.0,2.0,3.0,0.0,40.0,0,0.0,0,205.07,1
2005,0.0,3.0,2.0,2.0,30.0,2.0,4.0,2.0,1.0,,133368,1.0,91.66666666666669,550.0,6.0,2.0,1.0,372.0,0.0,1.0,6.0,0.0,0.0,0,0.0,0,205.07,1
2005,3.0,0.0,3.0,2.0,12.0,5.0,4.0,3.0,2.0,5.0,133368,3.0,91.66666666666669,550.0,6.0,1.0,1.0,372.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,205.07,1
2005,3.0,0.0,3.0,2.0,10.0,5.0,4.0,3.0,2.0,3.0,133368,3.0,91.66666666666669,550.0,6.0,1.0,1.0,372.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,205.07,1
2005,3.0,0.0,3.0,1.0,8.0,5.0,4.0,3.0,2.0,2.0,133368,4.0,91.66666666666669,550.0,6.0,1.0,1.0,372.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,205.07,1
2005,5.0,0.0,3.0,1.0,2.0,5.0,4.0,,,,133368,4.0,91.66666666666669,550.0,6.0,7.0,1.0,372.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,205.07,1
2005,1.0,0.0,1.0,2.0,86.0,4.0,12.0,7.0,1.0,,133851,3.0,1125.0,2250.0,2.0,6.0,1.0,672.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,205.07,0
2005,3.0,0.0,5.0,1.0,20.0,5.0,1.0,7.0,2.0,,133851,3.0,1125.0,2250.0,2.0,5.0,1.0,672.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,205.07,0
2005,0.0,3.0,1.0,2.0,40.0,5.0,2.0,4.0,1.0,,133851,1.0,400.0,400.0,1.0,4.0,2.0,672.0,0.0,2.0,0.0,0.0,28.0,0,0.0,0,205.07,0
2005,0.0,3.0,1.0,1.0,57.0,2.0,1.0,2.0,1.0,,133852,1.0,275.0,1100.0,4.0,2.0,1.0,249.0,0.0,1.0,11.0,0.0,30.0,0,0.0,0,205.07,0
2005,4.0,0.0,2.0,2.0,50.0,2.0,1.0,4.0,1.0,,133852,3.0,275.0,1100.0,4.0,4.0,1.0,249.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,205.07,0
2005,7.0,0.0,3.0,1.0,29.0,1.0,4.0,4.0,2.0,2.0,133852,3.0,275.0,1100.0,4.0,3.0,1.0,249.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,205.07,0
2005,0.0,3.0,4.0,2.0,36.0,1.0,1.0,4.0,1.0,,133852,1.0,275.0,1100.0,4.0,4.0,1.0,249.0,0.0,2.0,10.0,0.0,40.0,0,0.0,0,205.07,0
2005,0.0,3.0,1.0,1.0,40.0,2.0,1.0,8.0,1.0,,134359,1.0,925.0,3700.0,4.0,6.0,1.0,269.0,0.0,2.0,7.0,0.0,50.0,0,0.0,0,205.07,0
2005,0.0,2.0,2.0,2.0,39.0,2.0,1.0,7.0,2.0,4.0,134359,1.0,925.0,3700.0,4.0,5.0,1.0,269.0,0.0,2.0,1.0,0.0,6.0,0,0.0,0,205.07,0
2005,3.0,0.0,3.0,2.0,12.0,5.0,1.0,3.0,2.0,7.0,134359,3.0,925.0,3700.0,4.0,2.0,1.0,269.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,205.07,0
2005,3.0,0.0,3.0,1.0,9.0,5.0,1.0,3.0,2.0,4.0,134359,4.0,925.0,3700.0,4.0,1.0,1.0,269.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,205.07,0
2005,0.0,0.0,1.0,2.0,60.0,4.0,12.0,2.0,1.0,,135194,2.0,75.0,300.0,4.0,2.0,1.0,310.0,0.0,0.0,0.0,5.0,0.0,0,0.0,0,205.07,1
2005,3.0,0.0,3.0,2.0,22.0,1.0,1.0,7.0,2.0,2.0,135194,3.0,75.0,300.0,4.0,5.0,1.0,310.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,205.07,1
2005,3.0,0.0,4.0,1.0,22.0,1.0,1.0,7.0,2.0,2.0,135194,3.0,75.0,300.0,4.0,5.0,1.0,310.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,205.07,1
2005,5.0,0.0,5.0,2.0,1.0,5.0,1.0,,,,135194,4.0,75.0,300.0,4.0,7.0,1.0,310.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,205.07,1
2005,0.0,3.0,1.0,1.0,60.0,2.0,12.0,6.0,1.0,,135555,1.0,568.0,2840.0,5.0,6.0,1.0,374.0,0.0,2.0,7.0,0.0,56.0,0,0.0,0,205.07,0
2005,1.0,0.0,2.0,2.0,60.0,2.0,12.0,7.0,1.0,,135555,3.0,568.0,2840.0,5.0,6.0,1.0,374.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,205.07,0
2005,0.0,3.0,3.0,2.0,34.0,5.0,12.0,8.0,1.0,,135555,1.0,568.0,2840.0,5.0,6.0,1.0,374.0,0.0,2.0,11.0,0.0,0.0,0,0.0,0,205.07,0
2005,0.0,0.0,3.0,2.0,31.0,5.0,12.0,7.0,1.0,,135555,0.0,568.0,2840.0,5.0,6.0,1.0,374.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,205.07,0
2005,0.0,0.0,3.0,2.0,30.0,5.0,12.0,7.0,1.0,,135555,0.0,568.0,2840.0,5.0,6.0,1.0,374.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,205.07,0
2005,0.0,3.0,1.0,1.0,51.0,2.0,4.0,7.0,2.0,3.0,135655,1.0,270.0,1350.0,5.0,5.0,1.0,416.0,0.0,2.0,99.0,0.0,30.0,0,0.0,0,205.07,0
2005,0.0,3.0,2.0,2.0,46.0,2.0,4.0,4.0,1.0,,135655,1.0,270.0,1350.0,5.0,4.0,1.0,416.0,0.0,2.0,0.0,0.0,6.0,0,0.0,0,205.07,0
2005,0.0,3.0,3.0,2.0,22.0,5.0,4.0,4.0,1.0,,135655,1.0,270.0,1350.0,5.0,4.0,1.0,416.0,0.0,2.0,4.0,0.0,40.0,0,0.0,0,205.07,0
