codusu,nro_hogar,ch04,ch06,ch07,ch08,nivel_ed,estado,cat_inac,itf,ipcf,pondera,pondih,cat_ocup,pp03d,pp3e_tot,pp3f_tot,pp04a,pp04c,pp10a,pp3e_tot_missing,pp3f_tot_missing,anio
TQRMNOTPRHJMLNCDEIOAH00874261,1,2,44,2,1.0,4,3,4,0.0,0.0,328.0,,0,,,,,,,0,0,2025
TQRMNOTPRHJMLNCDEIOAH00874261,1,1,14,5,1.0,3,3,3,0.0,0.0,328.0,,0,,,,,,,0,0,2025
TQRMNOPXVHKKKQCDEFKID00860336,1,1,70,2,12.0,6,3,1,4600000.0,2300000.0,1536.0,2072.0,0,,,,,,,0,0,2025
TQRMNOPXVHKKKQCDEFKID00860336,1,2,67,2,12.0,6,3,1,4600000.0,2300000.0,1536.0,2072.0,0,,,,,,,0,0,2025
TQRMNOQWQHLKKRCDEFKID00860418,1,1,44,1,12.0,5,1,0,0.0,0.0,1275.0,,3,0.0,44.0,0.0,2.0,,,0,0,2025
TQRMNOQYQHLOKMCDEFKID00872777,2,2,29,5,1.0,5,1,0,2050000.0,683333.33,881.0,980.0,3,0.0,30.0,0.0,1.0,11.0,,0,0,2025
TQRMNOQYQHLOKMCDEFKID00872777,2,1,8,5,1.0,1,4,3,2050000.0,683333.33,881.0,980.0,0,,,,,,,0,0,2025
TQRMNOQYQHLOKMCDEFKID00872777,2,2,6,5,1.0,1,4,3,2050000.0,683333.33,881.0,980.0,0,,,,,,,0,0,2025
TQRMNOSRQHLMKUCDEGJBF00852834,1,2,69,5,1.0,4,3,1,3000000.0,3000000.0,644.0,705.0,0,,,,,,,0,0,2025
TQRMNOQUPHJLKUCDEGJBF00876852,1,1,49,1,1.0,3,1,0,3844000.0,768800.0,992.0,1328.0,2,0.0,55.0,0.0,2.0,1.0,,0,0,2025
TQRMNOQUPHJLKUCDEGJBF00876852,1,2,18,5,1.0,4,1,0,3844000.0,768800.0,992.0,1328.0,3,0.0,50.0,0.0,2.0,7.0,,0,0,2025
TQRMNOQUPHJLKUCDEGJBF00876852,1,1,14,5,1.0,3,3,3,3844000.0,768800.0,992.0,1328.0,0,,,,,,,0,0,2025
TQRMNOQUPHJLKUCDEGJBF00876852,1,2,44,1,1.0,6,1,0,3844000.0,768800.0,992.0,1328.0,3,0.0,0.0,0.0,1.0,12.0,,0,0,2025
TQRMNORTYHMNKMCDEFKID00880305,1,1,11,5,1.0,1,3,3,0.0,0.0,721.0,,0,,,,,,,0,0,2025
TQRMNORTYHMNKMCDEFKID00880305,1,1,21,5,1.0,5,1,0,0.0,0.0,721.0,,3,0.0,40.0,0.0,2.0,,,0,0,2025
TQRMNOPTPHMMKNCDEFKID00880306,1,2,56,4,1.0,6,1,0,1300000.0,650000.0,877.0,1185.0,3,2.0,20.0,20.0,1.0,,,0,0,2025
TQRMNOPTPHMMKNCDEFKID00880306,1,1,29,5,1.0,6,2,0,1300000.0,650000.0,877.0,1185.0,3,,,,,,4.0,0,0,2025
TQRMNORSRHKKKNCDEFKID00861760,1,2,62,1,1.0,5,1,0,0.0,0.0,780.0,,3,0.0,24.0,0.0,2.0,4.0,,0,0,2025
TQRMNORSRHKKKNCDEFKID00861760,1,1,67,1,1.0,4,3,2,0.0,0.0,780.0,,0,,,,,,,0,0,2025
TQRMNOPPWHMLLRCDEFKID00880347,1,1,81,1,1.0,3,3,1,1610000.0,805000.0,790.0,852.0,0,,,,,,,0,0,2025
TQRMNOPPWHMLLRCDEFKID00880347,1,2,83,1,1.0,4,3,6,1610000.0,805000.0,790.0,852.0,0,,,,,,,0,0,2025
