codusu,nro_hogar,ch04,ch06,ch07,ch08,nivel_ed,estado,cat_inac,ipcf,pondera,cat_ocup,pp03d,pp3e_tot,pp3f_tot,pp04a,pp04c,pp10a,pp3e_tot_missing,pp3f_tot_missing,anio,itf,pondih
135655,1.0,1.0,19.0,5.0,4.0,3.0,2.0,0.0,270.0,416.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,2005,,
135655,1.0,1.0,15.0,5.0,1.0,1.0,3.0,1.0,270.0,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
135759,1.0,1.0,48.0,2.0,1.0,6.0,1.0,0.0,433.3333333333333,365.0,2.0,0.0,48.0,0.0,2.0,1.0,0.0,0,0,2005,,
135759,1.0,2.0,47.0,2.0,1.0,4.0,1.0,0.0,433.3333333333333,365.0,1.0,0.0,36.0,0.0,2.0,2.0,0.0,0,0,2005,,
135759,1.0,2.0,9.0,5.0,1.0,1.0,4.0,3.0,433.3333333333333,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
136038,1.0,1.0,33.0,1.0,4.0,3.0,1.0,0.0,250.0,309.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0,0,2005,,
136038,1.0,2.0,23.0,1.0,4.0,3.0,1.0,0.0,250.0,309.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0,0,2005,,
136038,1.0,2.0,1.0,5.0,4.0,7.0,4.0,5.0,250.0,309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
136038,1.0,1.0,6.0,5.0,4.0,1.0,4.0,3.0,250.0,309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
136761,1.0,1.0,42.0,2.0,1.0,2.0,1.0,0.0,150.0,786.0,3.0,0.0,60.0,0.0,1.0,9.0,0.0,0,0,2005,,
136761,1.0,2.0,33.0,2.0,1.0,1.0,3.0,4.0,150.0,786.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
136761,1.0,1.0,13.0,5.0,1.0,1.0,3.0,3.0,150.0,786.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
136761,1.0,1.0,11.0,5.0,1.0,1.0,3.0,3.0,150.0,786.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
136761,1.0,2.0,9.0,5.0,1.0,1.0,4.0,3.0,150.0,786.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
137045,1.0,1.0,53.0,2.0,1.0,4.0,1.0,0.0,487.5,325.0,1.0,0.0,56.0,0.0,2.0,2.0,0.0,0,0,2005,,
137045,1.0,2.0,51.0,2.0,1.0,4.0,1.0,0.0,487.5,325.0,3.0,0.0,30.0,0.0,1.0,11.0,0.0,0,0,2005,,
137045,1.0,1.0,22.0,5.0,1.0,5.0,3.0,3.0,487.5,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
137045,1.0,2.0,19.0,5.0,1.0,5.0,1.0,0.0,487.5,325.0,3.0,0.0,15.0,0.0,1.0,10.0,0.0,0,0,2005,,
