codusu,nro_hogar,ch04,ch06,ch07,ch08,nivel_ed,estado,cat_inac,itf,ipcf,pondera,pondih,cat_ocup,pp03d,pp3e_tot,pp3f_tot,pp04a,pp04c,pp10a,pp3e_tot_missing,pp3f_tot_missing
TQRMNOUTTHKKKMCDEIOAH00860942,1,2,52,1,1.0,3,1,0,2960000.0,1480000.0,97.0,153.0,3,5.0,8.0,32.0,2.0,0.0,,0,0
TQRMNOUTTHKKKMCDEIOAH00860942,1,1,43,1,1.0,3,1,0,2960000.0,1480000.0,97.0,153.0,3,2.0,60.0,10.0,2.0,10.0,,0,0
TQRMNOQYQHKNKNCDEIOAH00861632,1,2,75,4,1.0,3,3,4,520000.0,520000.0,74.0,109.0,0,,,,,,,0,0
TQRMNOPWVHKMKOCDEFLID00860531,1,2,39,5,4.0,4,3,4,0.0,0.0,190.0,,0,,,,,,,0,0
TQRMNOPWVHKMKOCDEFLID00860531,1,2,15,5,4.0,3,3,3,0.0,0.0,190.0,,0,,,,,,,0,0
TQRMNOSQQHMMKPCDEFLID00877701,1,2,57,5,4.0,2,3,2,940000.0,470000.0,289.0,578.0,0,,,,,,,0,0
TQRMNOQQUHJMLPCDEIMBF00872938,1,2,49,5,1.0,6,1,0,500000.0,500000.0,97.0,131.0,3,0.0,25.0,0.0,2.0,10.0,,0,0
TQRMNOPSVHKMLOCDEIMBF00861588,1,2,27,1,1.0,4,1,0,1160000.0,386666.67,208.0,263.0,2,2.0,30.0,3.0,2.0,1.0,,0,0
TQRMNOPSVHKMLOCDEIMBF00861588,1,1,32,1,1.0,3,1,0,1160000.0,386666.67,208.0,263.0,3,0.0,54.0,0.0,2.0,11.0,,0,0
TQRMNOSPTHKMKMCDEIKAH00856637,1,2,66,4,1.0,4,3,1,0.0,0.0,1289.0,,0,,,,,,,0,0
TQRMNOSPTHKMKMCDEIKAH00856637,1,1,33,3,4.0,4,1,0,0.0,0.0,1289.0,,2,0.0,48.0,0.0,2.0,2.0,,0,0
TQRMNOSPTHKMKMCDEIKAH00856637,1,1,26,5,1.0,4,1,0,0.0,0.0,1289.0,,3,0.0,50.0,0.0,2.0,6.0,,0,0
TQRMNOSTPHLNLQCDEIMBF00855980,1,2,22,5,1.0,4,1,0,630000.0,630000.0,152.0,191.0,3,0.0,48.0,0.0,2.0,,,0,0
TQRMNOPSQHLLKTCDEIGED00876426,1,1,39,2,1.0,4,1,0,2500000.0,500000.0,147.0,130.0,3,0.0,60.0,0.0,1.0,6.0,,0,0
TQRMNOPSQHLLKTCDEIGED00876426,1,2,35,2,1.0,4,3,4,2500000.0,500000.0,147.0,130.0,0,,,,,,,0,0
TQRMNOPSQHLLKTCDEIGED00876426,1,2,12,5,1.0,3,3,3,2500000.0,500000.0,147.0,130.0,0,,,,,,,0,0
TQRMNOPSQHLLKTCDEIGED00876426,1,2,11,5,1.0,1,3,3,2500000.0,500000.0,147.0,130.0,0,,,,,,,0,0
TQRMNOPSQHLLKTCDEIGED00876426,1,1,8,5,1.0,1,4,3,2500000.0,500000.0,147.0,130.0,0,,,,,,,0,0
TQRMNORXUHKLKTCDEIGED00856710,1,1,36,5,1.0,6,1,0,2310000.0,2310000.0,197.0,188.0,3,0.0,40.0,0.0,2.0,11.0,,0,0
TQRMNORSTHLKLMCDEIKAH00855749,1,2,86,4,1.0,4,3,1,700000.0,700000.0,303.0,264.0,0,,,,,,,0,0
TQRMNORPQHMLLOCDEIKAH00877885,1,2,57,4,1.0,6,1,0,0.0,0.0,1426.0,,3,0.0,60.0,0.0,2.0,1.0,,0,0
TQRMNORPQHMLLOCDEIKAH00877885,1,2,25,5,1.0,6,3,7,0.0,0.0,1426.0,,0,,,,,,,0,0
TQRMNORPQHMLLOCDEIKAH00877885,1,1,19,5,1.0,5,3,3,0.0,0.0,1426.0,,0,,,,,,,0,0
TQRMNOPPQHJLKUCDEIMBF00872935,1,2,58,4,1.0,3,1,0,2100000.0,1050000.0,131.0,147.0,3,0.0,40.0,0.0,2.0,8.0,,0,0
TQRMNOPPQHJLKUCDEIMBF00872935,1,1,27,5,1.0,4,3,4,2100000.0,1050000.0,131.0,147.0,0,,,,,,,0,0
TQRMNOQTYHJLKUCDEIMBF00875870,1,2,55,3,1.0,4,1,0,0.0,0.0,111.0,,3,2.0,20.0,20.0,2.0,,,0,0
